Scenario,ISO Request,ISO Response,Response Code
Purchase,1100F43407418CE0A0020000000C1400100016557383******9999000000000000000100000000000100089801230712120625****L10101L5500C0001005999069997010512928301198493463390999MTF TESTABC123TESTMTF1932Purchase\\Milan\             ITA9789780180109MDU68637705010051292806999701110000000000023600501992609           026102510000660038063301-1234,1110F43000018EC0A4020000000C1400000016557383******9999000000000000000100000000000100089801230712120625069997010512928301198493463390999000MTF TESTABC123TESTMTF199789780400002978C0000008349080001978C0000010362990180109MDU68637705010051292806999701110000000000023600501992609           ,
Purchase,1420F43007818CC0A1020000000C1400100016557383******9999000000000000000100000000000100512118230712120625L10101L5500C0004001403069997010512928475751892610390999MTF TESTABC123TESTMTF199789782811000898012307121206259997010130209MDU686377051292806999701110000000000023600501992609           026102510000660038063301-1234,1430F43000818AC081020000000C1400000016557383******99990000000000000001000000000001005121182307121206251403069997010512928475751892610400MTF TESTABC123TESTMTF199782811000898012307121206259997010130209MDU686377051292806999701110000000000023600501992609           ,
